"","observation_date","American Crow","American Goldfinch","American Kestrel","American Redstart","American Robin","Bald Eagle","Baltimore Oriole","Barn Swallow","Barred Owl","Bay-breasted Warbler","Belted Kingfisher","Black Vulture","Black-and-white Warbler","Black-billed Cuckoo","Black-crowned Night-Heron","Black-throated Blue Warbler","Black-throated Green Warbler","Blackpoll Warbler","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Blue-headed Vireo","Blue-winged Teal","Bobolink","Broad-winged Hawk","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Canada Goose","Cape May Warbler","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chestnut-sided Warbler","Chimney Swift","Chipping Sparrow","Chuck-will's-widow","Cliff Swallow","Common Grackle","Common Yellowthroat","Cooper's Hawk","Double-crested Cormorant","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Meadowlark","Eastern Phoebe","Eastern Screech-Owl","Eastern Towhee","Eastern Wood-Pewee","European Starling","Field Sparrow","Fish Crow","Forster's Tern","Grasshopper Sparrow","Gray Catbird","Great Blue Heron","Great Crested Flycatcher","Great Egret","Green Heron","Hairy Woodpecker","Hooded Warbler","House Finch","House Sparrow","House Wren","Indigo Bunting","Kentucky Warbler","Killdeer","Lark Sparrow","Least Sandpiper","Lesser Yellowlegs","Louisiana Waterthrush","Magnolia Warbler","Mallard","Mississippi Kite","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Northern Parula","Northern Rough-winged Swallow","Northern Waterthrush","Orchard Oriole","Osprey","Ovenbird","Palm Warbler","Pileated Woodpecker","Pine Warbler","Prairie Warbler","Prothonotary Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-shouldered Hawk","Red-tailed Hawk","Red-winged Blackbird","Rock Pigeon","Rose-breasted Grosbeak","Ruby-crowned Kinglet","Ruby-throated Hummingbird","Savannah Sparrow","Scarlet Tanager","Sharp-shinned Hawk","Solitary Sandpiper","Song Sparrow","Sora","Spotted Sandpiper","Summer Tanager","Swainson's Thrush","Tennessee Warbler","Tree Swallow","Tufted Titmouse","Turkey Vulture","Veery","Virginia Rail","Warbling Vireo","White-breasted Nuthatch","White-crowned Sparrow","White-eyed Vireo","White-throated Sparrow","Wild Turkey","Willow Flycatcher","Wilson's Snipe","Wood Duck","Wood Thrush","Worm-eating Warbler","Yellow Warbler","Yellow-billed Cuckoo","Yellow-breasted Chat","Yellow-rumped Warbler","Yellow-throated Vireo","Blackburnian Warbler","Cerulean Warbler","Nashville Warbler","Philadelphia Vireo","Red-headed Woodpecker","Swainson's Warbler","Swamp Sparrow","Common Nighthawk","Muscovy Duck","Purple Finch","Gray-cheeked Thrush","Great Horned Owl","Least Flycatcher","Red-breasted Nuthatch","Vesper Sparrow","Acadian Flycatcher","Bank Swallow","Canada Warbler","Wilson's Warbler","Yellow-throated Warbler","Dickcissel","American Woodcock","Olive-sided Flycatcher","Cattle Egret","Lincoln's Sparrow","Connecticut Warbler","Common Raven","Mourning Warbler","Mute Swan","Semipalmated Sandpiper","Marsh Wren","Semipalmated Plover","White-rumped Sandpiper","Yellow-bellied Sapsucker","Pine Siskin","American Bittern","Pectoral Sandpiper","Blue-winged Warbler","American Avocet","Black Tern","Yellow-bellied Flycatcher","Short-billed Dowitcher","Willet","Eastern Whip-poor-will","Eared Grebe","Horned Grebe","Golden-winged Warbler","Merlin","Caspian Tern","Laughing Gull","Orange-crowned Warbler","Pied-billed Grebe","Greater Yellowlegs","Brown Creeper","Golden-crowned Kinglet","Northern Harrier","Winter Wren","Hermit Thrush","Bonaparte's Gull","Northern Shoveler","American Coot","Dark-eyed Junco","Peregrine Falcon","Gadwall","Ring-necked Duck","American Pipit","Common Loon","Green-winged Teal","Northern Pintail","Surf Scoter","Fox Sparrow","Rusty Blackbird","Sedge Wren","Purple Gallinule","Hooded Merganser","Ring-billed Gull","American Black Duck","Ruddy Duck","American Wigeon","Bufflehead","Canvasback","Redhead","Lesser Scaup","Sandhill Crane","Red-breasted Merganser","Snow Goose","Greater Scaup","American White Pelican","Egyptian Goose","Herring Gull","Red-throated Loon","Greater White-fronted Goose","Ross's Goose","Red-necked Grebe","Common Merganser","Barn Owl","Eurasian Collared-Dove","Little Gull","Franklin's Gull","Black-bellied Whistling-Duck","Little Blue Heron"
"1",2022-05-01,NA,NA,1,11,NA,14,5,231,3,2,10,54,3,3,3,2,9,4,16,130,50,1,24,85,2,65,85,7,502,15,NA,NA,NA,1,NA,22,2,524,148,60,1,444,39,91,53,79,24,3,123,3,NA,127,7,1,4,NA,77,NA,5,29,10,6,NA,NA,NA,NA,1,48,7,71,3,1,2,93,1,197,7,333,17,NA,18,105,4,41,53,1,9,9,11,3,20,29,82,41,6,20,304,57,13,4,10,40,11,2,26,NA,3,41,9,26,4,282,NA,59,NA,3,1,23,34,13,9,3,1,7,45,NA,5,10,13,29,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022-05-02,NA,49,1,26,NA,4,4,35,NA,8,10,12,NA,NA,NA,1,15,NA,17,NA,36,1,10,65,10,52,48,2,NA,NA,NA,NA,NA,2,54,10,NA,380,74,45,5,26,NA,41,45,37,12,NA,NA,22,73,NA,NA,NA,3,NA,21,15,NA,3,3,7,117,5,7,NA,NA,7,NA,NA,NA,1,13,NA,3,NA,2,NA,8,76,22,39,2,32,13,1,NA,3,22,4,9,34,NA,71,2,11,183,15,NA,2,11,16,NA,NA,9,49,NA,18,23,NA,22,78,NA,NA,2,NA,4,11,16,18,3,2,1,NA,12,NA,3,5,15,52,NA,8,7,1,4,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022-05-03,42,35,1,7,108,1,3,34,NA,4,1,5,3,NA,NA,NA,5,2,7,50,16,1,NA,1,1,19,22,NA,NA,11,61,61,61,2,17,5,NA,44,40,23,4,14,19,NA,27,31,9,NA,50,6,45,35,5,NA,NA,7,12,6,NA,1,4,2,52,15,6,26,1,2,NA,NA,NA,1,4,12,NA,58,NA,116,4,39,9,35,2,5,6,NA,NA,2,3,NA,3,7,24,19,3,13,121,7,7,2,5,NA,7,NA,2,28,NA,NA,4,13,NA,54,42,4,4,NA,3,8,NA,8,5,3,3,NA,2,10,1,2,2,10,19,NA,1,NA,NA,NA,NA,NA,NA,1,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2022-05-04,35,30,2,34,NA,2,4,41,1,15,4,3,9,NA,NA,NA,16,14,11,NA,27,NA,NA,8,3,48,35,1,NA,33,NA,75,83,3,25,5,NA,27,51,13,4,17,38,39,13,13,12,1,NA,19,NA,NA,5,NA,3,25,7,15,NA,3,1,8,NA,6,5,21,NA,5,NA,NA,NA,NA,17,6,NA,98,3,NA,4,64,17,24,NA,11,14,NA,1,2,21,6,2,6,48,54,6,9,NA,3,19,NA,8,6,20,NA,1,35,NA,2,7,31,27,NA,NA,20,1,NA,4,18,4,15,2,2,4,NA,4,15,1,5,4,9,29,3,6,NA,4,NA,NA,NA,NA,NA,25,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022-05-05,45,32,NA,45,161,1,NA,37,NA,13,4,19,20,NA,NA,5,13,19,6,75,33,5,NA,35,3,27,38,2,108,40,104,87,NA,14,52,9,1,190,52,26,2,47,34,29,25,13,NA,2,74,16,70,NA,1,NA,NA,NA,17,20,NA,7,7,12,85,1,6,34,1,9,NA,NA,NA,2,22,22,NA,NA,3,NA,7,50,21,19,5,8,16,1,3,7,16,8,7,11,NA,69,7,2,NA,8,12,5,14,2,24,NA,4,39,NA,3,18,38,16,53,81,10,NA,NA,1,24,5,14,2,1,2,NA,8,19,2,3,5,15,26,3,9,1,3,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022-05-06,25,14,NA,11,74,NA,NA,87,NA,3,1,8,1,NA,NA,2,1,7,5,26,8,NA,NA,26,NA,18,12,10,91,2,35,37,66,4,17,10,NA,19,35,3,2,35,16,28,30,48,4,NA,38,2,20,22,1,NA,NA,9,10,8,NA,1,1,1,79,1,3,10,NA,5,NA,NA,NA,NA,1,29,NA,46,NA,96,2,38,5,16,1,4,8,2,2,NA,5,NA,7,1,25,23,NA,6,126,7,9,NA,7,18,9,NA,3,30,NA,4,3,12,2,51,33,9,1,NA,1,9,1,2,1,1,NA,NA,5,7,NA,1,2,3,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2022-05-07,37,15,NA,24,105,1,3,79,1,14,2,8,8,NA,NA,7,9,14,5,60,21,5,NA,77,2,30,24,NA,89,24,49,40,113,10,67,2,NA,137,45,10,2,4,21,21,28,39,3,NA,53,16,44,31,1,NA,NA,18,14,11,NA,3,6,8,82,10,1,19,NA,1,NA,NA,NA,NA,20,14,NA,79,4,98,4,48,18,34,1,8,6,5,4,2,7,NA,9,12,27,42,7,10,115,21,4,3,5,8,10,NA,1,27,NA,NA,4,24,13,42,30,16,5,NA,2,16,1,5,NA,NA,1,NA,9,11,2,6,4,10,7,1,2,5,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022-05-08,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,15,NA,NA,6,13,7,NA,NA,29,2,2,88,2,51,NA,NA,NA,16,NA,NA,NA,15,NA,12,NA,NA,NA,NA,4,NA,NA,NA,36,NA,14,NA,NA,11,NA,NA,2,NA,NA,24,17,11,NA,5,6,7,NA,4,7,NA,4,5,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,5,NA,39,NA,1,NA,17,2,6,8,8,NA,NA,27,NA,53,4,11,NA,22,3,NA,9,5,15,NA,2,NA,NA,2,4,30,11,147,NA,NA,1,NA,NA,21,5,NA,NA,2,1,NA,11,12,NA,2,NA,NA,14,3,5,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,4,2,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022-05-09,48,24,NA,9,157,2,2,30,NA,14,1,19,6,NA,NA,3,8,20,4,NA,25,NA,3,47,NA,47,44,NA,94,16,81,103,44,8,61,NA,NA,80,40,19,1,13,24,42,35,NA,12,NA,60,20,NA,57,3,NA,NA,21,17,12,1,1,9,11,86,2,4,33,2,6,NA,NA,NA,NA,20,19,NA,82,3,179,8,74,12,21,2,18,7,5,2,8,7,1,12,12,64,74,7,9,107,34,5,NA,7,4,16,NA,3,NA,NA,2,3,41,6,40,83,18,NA,NA,NA,15,NA,8,NA,NA,4,NA,27,28,NA,4,10,12,4,5,5,NA,3,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022-05-10,33,21,1,2,119,NA,1,18,1,NA,1,15,1,NA,NA,NA,NA,4,6,54,16,2,NA,NA,2,22,14,2,NA,NA,55,50,22,2,18,9,5,NA,32,7,2,6,21,37,15,41,9,NA,39,3,44,26,NA,NA,NA,8,5,8,NA,1,NA,5,51,7,4,20,2,6,NA,NA,NA,NA,2,27,NA,51,8,114,5,51,2,10,NA,3,6,NA,NA,5,6,NA,1,4,37,26,5,5,NA,10,1,NA,3,1,NA,NA,1,25,NA,1,5,20,NA,32,46,8,NA,NA,NA,7,NA,3,NA,NA,1,NA,3,15,NA,NA,NA,5,3,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,1,NA,1,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
