"","observation_date","American Coot","American Crow","American Goldfinch","American Robin","American Woodcock","Bald Eagle","Belted Kingfisher","Black Vulture","Black-crowned Night-Heron","Blue Jay","Bonaparte's Gull","Brown Thrasher","Brown-headed Nuthatch","Bufflehead","Canada Goose","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Cooper's Hawk","Dark-eyed Junco","Downy Woodpecker","Eastern Bluebird","Eastern Phoebe","Eastern Screech-Owl","Eastern Towhee","European Starling","Field Sparrow","Gadwall","Golden-crowned Kinglet","Great Blue Heron","Great Horned Owl","Green-winged Teal","Hairy Woodpecker","Hermit Thrush","Hooded Merganser","Horned Grebe","House Finch","House Sparrow","Killdeer","Mallard","Mourning Dove","Northern Cardinal","Northern Flicker","Northern Harrier","Northern Mockingbird","Northern Shoveler","Palm Warbler","Pied-billed Grebe","Pileated Woodpecker","Pine Warbler","Purple Finch","Red-bellied Woodpecker","Red-shouldered Hawk","Red-tailed Hawk","Red-winged Blackbird","Ring-billed Gull","Ring-necked Duck","Rock Pigeon","Ruby-crowned Kinglet","Song Sparrow","Swamp Sparrow","Tufted Titmouse","Turkey Vulture","White-breasted Nuthatch","White-crowned Sparrow","White-throated Sparrow","Winter Wren","Yellow-bellied Sapsucker","Yellow-rumped Warbler","Yellow-throated Warbler","American Kestrel","American Pipit","Chipping Sparrow","Common Yellowthroat","Eastern Meadowlark","Fox Sparrow","Horned Lark","Merlin","Orange-crowned Warbler","Rusty Blackbird","Savannah Sparrow","Wilson's Snipe","Wood Duck","Brown-headed Cowbird","Brown Creeper","American Wigeon","Lesser Scaup","Redhead","Ruddy Duck","Sharp-shinned Hawk","Double-crested Cormorant","Fish Crow","Red-breasted Merganser","Barred Owl","Herring Gull","Pine Siskin","Wild Turkey","Nashville Warbler","Common Grackle","Rufous Hummingbird","American Black Duck","Common Goldeneye","Northern Pintail","Lesser Black-backed Gull","Muscovy Duck","Common Loon","Vesper Sparrow","Greater Yellowlegs","Great Egret","Tree Swallow","Osprey","White-winged Scoter","Virginia Rail","Ross's Goose","Canvasback","Blue-winged Teal","Greater Scaup","Barn Owl","Eastern Whip-poor-will","Northern Rough-winged Swallow","Common Raven","Purple Martin","Lesser Yellowlegs","Barn Swallow","Blue-gray Gnatcatcher","Cliff Swallow","Northern Bobwhite","Black-and-white Warbler","Blue-headed Vireo","Black-throated Green Warbler","Pectoral Sandpiper","Red-headed Woodpecker","Chimney Swift","White-eyed Vireo","Louisiana Waterthrush","Broad-winged Hawk","Caspian Tern","Eastern Kingbird","Solitary Sandpiper","Black-throated Blue Warbler","Green Heron","Northern Parula","Ruby-throated Hummingbird","Worm-eating Warbler","Yellow Warbler","Indigo Bunting","Marsh Wren","Spotted Sandpiper","Yellow-throated Vireo","Hooded Warbler","House Wren","Rose-breasted Grosbeak","Ovenbird","Prairie Warbler","American Redstart","Red-eyed Vireo","Scarlet Tanager","Prothonotary Warbler","Wood Thrush","Forster's Tern","Cerulean Warbler","Blackburnian Warbler","Blue-winged Warbler","Gray Catbird","Orchard Oriole","Semipalmated Sandpiper","Baltimore Oriole","Blackpoll Warbler","Blue Grosbeak","Cape May Warbler","Northern Waterthrush","Summer Tanager","Swainson's Warbler","Tennessee Warbler","Yellow-billed Cuckoo","Great Crested Flycatcher","Chuck-will's-widow","Acadian Flycatcher","Yellow-breasted Chat","Bobolink","Chestnut-sided Warbler","Eastern Wood-Pewee","Kentucky Warbler","Sora","Black-billed Cuckoo","American Bittern","Common Nighthawk","Grasshopper Sparrow","Magnolia Warbler","Golden-winged Warbler","Swainson's Thrush","Bay-breasted Warbler","Canada Warbler","Warbling Vireo","Willow Flycatcher","Gray-cheeked Thrush","Veery","Bank Swallow","Philadelphia Vireo","Lincoln's Sparrow","Snowy Egret","Dickcissel","Mourning Warbler","Sedge Wren","Alder Flycatcher","Cattle Egret","Little Blue Heron","Black Tern","Eurasian Collared-Dove","Least Sandpiper","Red-breasted Nuthatch","Wilson's Warbler","Surf Scoter","Bohemian Waxwing","Snow Goose","Greater White-fronted Goose","Franklin's Gull","Brewer's Blackbird","Graylag Goose","Peregrine Falcon","Sandhill Crane","Common Merganser","Long-tailed Duck","American White Pelican","Dunlin","White-winged Dove","Lark Sparrow","Swallow-tailed Kite","White-rumped Sandpiper","Western Sandpiper","Willet","Olive-sided Flycatcher","Mississippi Kite","Common Gallinule","Helmeted Guineafowl","Upland Sandpiper","Least Flycatcher","American Avocet","Brant","Golden Eagle","Cackling Goose","Harris's Sparrow","Indian Peafowl","Mute Swan","Yellow-crowned Night-Heron","White-faced Ibis","Connecticut Warbler","Mandarin Duck","Clay-colored Sparrow","Nelson's Sparrow","Whooping Crane","Red-necked Grebe","Ring-necked Pheasant","American Golden-Plover","Yellow-bellied Flycatcher","Semipalmated Plover","Black-headed Parrot","Laughing Gull","Nanday Parakeet","Long-billed Dowitcher","Red Junglefowl","Brown Pelican","Ruffed Grouse","Egyptian Goose","Evening Grosbeak","Northern Saw-whet Owl","Black Scoter","Red-throated Loon","Loggerhead Shrike","Red-necked Phalarope","Common Tern","Painted Bunting","Short-billed Dowitcher","Eared Grebe","Purple Gallinule"
"1",2016-01-01,80,98,85,197,3,6,10,13,1,51,20,1,6,28,197,71,28,33,3,31,25,20,1,1,23,19,16,36,16,40,2,1,4,12,2,4,39,8,8,90,65,90,15,2,29,8,5,9,2,5,4,24,1,1,18,12,4,28,12,46,8,44,4,11,2,47,1,5,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016-01-02,10,83,57,149,NA,NA,10,10,2,90,92,5,12,NA,214,75,61,132,6,27,35,66,8,1,41,155,61,22,8,37,1,NA,1,8,NA,NA,46,15,15,61,197,184,14,1,36,NA,9,NA,4,1,NA,37,11,12,42,61,NA,11,18,168,25,60,NA,17,NA,125,NA,8,56,NA,1,24,28,1,38,4,2,1,2,20,67,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2016-01-03,15,24,22,89,NA,NA,5,2,NA,27,276,1,4,NA,141,30,30,92,2,8,14,13,2,NA,8,30,4,NA,NA,11,NA,NA,1,6,NA,3,21,3,12,2,46,58,5,NA,11,NA,5,13,NA,1,NA,17,1,1,6,152,NA,5,4,14,2,29,32,9,NA,23,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2016-01-04,NA,NA,17,77,NA,NA,4,2,NA,9,180,1,NA,NA,NA,24,10,76,1,15,7,10,NA,NA,15,32,NA,NA,1,5,NA,NA,2,2,NA,NA,26,NA,NA,8,11,58,3,NA,3,NA,NA,NA,1,NA,2,7,NA,NA,NA,3,NA,NA,2,8,1,21,NA,6,NA,24,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2016-01-05,52,30,20,30,NA,2,6,28,NA,32,239,5,1,4,77,35,23,6,1,10,15,29,NA,NA,10,7,10,NA,1,10,NA,NA,NA,7,3,NA,17,9,2,47,24,71,4,1,11,2,NA,2,1,1,NA,13,6,1,NA,143,NA,11,6,38,10,36,NA,6,1,48,NA,6,21,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,1,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2016-01-06,NA,27,16,NA,NA,1,5,9,NA,15,94,1,3,NA,44,42,24,5,3,1,20,19,2,1,11,11,11,NA,3,11,3,NA,2,8,5,2,12,NA,NA,1,12,72,10,1,8,NA,5,12,1,1,NA,9,2,2,1,56,NA,4,6,34,17,26,NA,7,6,39,1,4,15,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2016-01-07,16,26,11,52,1,3,7,6,NA,14,NA,NA,3,NA,NA,29,14,28,NA,NA,7,5,NA,NA,4,4,6,78,2,23,NA,2,1,7,NA,4,10,NA,8,47,9,35,4,NA,5,3,5,13,1,1,NA,13,1,2,20,NA,2,2,3,16,NA,17,5,6,NA,36,NA,3,12,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2016-01-08,NA,9,18,111,NA,2,1,4,NA,9,20,1,1,NA,NA,25,10,7,NA,1,7,4,NA,NA,8,43,NA,NA,NA,7,NA,NA,1,4,NA,NA,6,4,NA,NA,12,34,2,NA,4,NA,NA,NA,NA,NA,NA,7,NA,1,NA,1,NA,12,4,11,NA,16,NA,5,NA,10,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2016-01-09,NA,83,20,83,NA,3,5,8,NA,31,177,NA,2,NA,81,43,23,NA,4,3,12,25,NA,NA,12,NA,NA,7,2,25,NA,NA,1,NA,NA,NA,26,2,36,42,64,51,4,NA,8,NA,NA,6,2,1,3,19,NA,NA,1,182,NA,2,3,17,1,34,NA,11,NA,18,1,4,15,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016-01-10,51,35,NA,NA,NA,6,15,8,8,40,185,2,11,NA,133,62,23,38,1,42,NA,NA,1,NA,19,NA,6,50,7,51,NA,NA,4,8,NA,5,25,3,1,NA,NA,NA,3,NA,17,3,8,32,2,13,3,NA,2,3,16,NA,12,NA,7,18,2,55,1,NA,NA,82,NA,5,56,NA,NA,NA,9,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,3,NA,NA,6,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
