"","observation_date","common_name","observation_count"
"1",2022-05-01,"American Crow",NA
"2",2022-05-01,"American Goldfinch",NA
"3",2022-05-01,"American Kestrel",1
"4",2022-05-01,"American Redstart",11
"5",2022-05-01,"American Robin",NA
"6",2022-05-01,"Bald Eagle",14
"7",2022-05-01,"Baltimore Oriole",5
"8",2022-05-01,"Barn Swallow",231
"9",2022-05-01,"Barred Owl",3
"10",2022-05-01,"Bay-breasted Warbler",2
"11",2022-05-01,"Belted Kingfisher",10
"12",2022-05-01,"Black Vulture",54
"13",2022-05-01,"Black-and-white Warbler",3
"14",2022-05-01,"Black-billed Cuckoo",3
"15",2022-05-01,"Black-crowned Night-Heron",3
"16",2022-05-01,"Black-throated Blue Warbler",2
"17",2022-05-01,"Black-throated Green Warbler",9
"18",2022-05-01,"Blackpoll Warbler",4
"19",2022-05-01,"Blue Grosbeak",16
"20",2022-05-01,"Blue Jay",130
"21",2022-05-01,"Blue-gray Gnatcatcher",50
"22",2022-05-01,"Blue-headed Vireo",1
"23",2022-05-01,"Blue-winged Teal",24
"24",2022-05-01,"Bobolink",85
"25",2022-05-01,"Broad-winged Hawk",2
"26",2022-05-01,"Brown Thrasher",65
"27",2022-05-01,"Brown-headed Cowbird",85
"28",2022-05-01,"Brown-headed Nuthatch",7
"29",2022-05-01,"Canada Goose",502
"30",2022-05-01,"Cape May Warbler",15
"31",2022-05-01,"Carolina Chickadee",NA
"32",2022-05-01,"Carolina Wren",NA
"33",2022-05-01,"Cedar Waxwing",NA
"34",2022-05-01,"Chestnut-sided Warbler",1
"35",2022-05-01,"Chimney Swift",NA
"36",2022-05-01,"Chipping Sparrow",22
"37",2022-05-01,"Chuck-will's-widow",2
"38",2022-05-01,"Cliff Swallow",524
"39",2022-05-01,"Common Grackle",148
"40",2022-05-01,"Common Yellowthroat",60
"41",2022-05-01,"Cooper's Hawk",1
"42",2022-05-01,"Double-crested Cormorant",444
"43",2022-05-01,"Downy Woodpecker",39
"44",2022-05-01,"Eastern Bluebird",91
"45",2022-05-01,"Eastern Kingbird",53
"46",2022-05-01,"Eastern Meadowlark",79
"47",2022-05-01,"Eastern Phoebe",24
"48",2022-05-01,"Eastern Screech-Owl",3
"49",2022-05-01,"Eastern Towhee",123
"50",2022-05-01,"Eastern Wood-Pewee",3
"51",2022-05-01,"European Starling",NA
"52",2022-05-01,"Field Sparrow",127
"53",2022-05-01,"Fish Crow",7
"54",2022-05-01,"Forster's Tern",1
"55",2022-05-01,"Grasshopper Sparrow",4
"56",2022-05-01,"Gray Catbird",NA
"57",2022-05-01,"Great Blue Heron",77
"58",2022-05-01,"Great Crested Flycatcher",NA
"59",2022-05-01,"Great Egret",5
"60",2022-05-01,"Green Heron",29
"61",2022-05-01,"Hairy Woodpecker",10
"62",2022-05-01,"Hooded Warbler",6
"63",2022-05-01,"House Finch",NA
"64",2022-05-01,"House Sparrow",NA
"65",2022-05-01,"House Wren",NA
"66",2022-05-01,"Indigo Bunting",NA
"67",2022-05-01,"Kentucky Warbler",1
"68",2022-05-01,"Killdeer",48
"69",2022-05-01,"Lark Sparrow",7
"70",2022-05-01,"Least Sandpiper",71
"71",2022-05-01,"Lesser Yellowlegs",3
"72",2022-05-01,"Louisiana Waterthrush",1
"73",2022-05-01,"Magnolia Warbler",2
"74",2022-05-01,"Mallard",93
"75",2022-05-01,"Mississippi Kite",1
"76",2022-05-01,"Mourning Dove",197
"77",2022-05-01,"Northern Bobwhite",7
"78",2022-05-01,"Northern Cardinal",333
"79",2022-05-01,"Northern Flicker",17
"80",2022-05-01,"Northern Mockingbird",NA
"81",2022-05-01,"Northern Parula",18
"82",2022-05-01,"Northern Rough-winged Swallow",105
"83",2022-05-01,"Northern Waterthrush",4
"84",2022-05-01,"Orchard Oriole",41
"85",2022-05-01,"Osprey",53
"86",2022-05-01,"Ovenbird",1
"87",2022-05-01,"Palm Warbler",9
"88",2022-05-01,"Pileated Woodpecker",9
"89",2022-05-01,"Pine Warbler",11
"90",2022-05-01,"Prairie Warbler",3
"91",2022-05-01,"Prothonotary Warbler",20
"92",2022-05-01,"Purple Martin",29
"93",2022-05-01,"Red-bellied Woodpecker",82
"94",2022-05-01,"Red-eyed Vireo",41
"95",2022-05-01,"Red-shouldered Hawk",6
"96",2022-05-01,"Red-tailed Hawk",20
"97",2022-05-01,"Red-winged Blackbird",304
"98",2022-05-01,"Rock Pigeon",57
"99",2022-05-01,"Rose-breasted Grosbeak",13
"100",2022-05-01,"Ruby-crowned Kinglet",4
"101",2022-05-01,"Ruby-throated Hummingbird",10
"102",2022-05-01,"Savannah Sparrow",40
"103",2022-05-01,"Scarlet Tanager",11
"104",2022-05-01,"Sharp-shinned Hawk",2
"105",2022-05-01,"Solitary Sandpiper",26
"106",2022-05-01,"Song Sparrow",NA
"107",2022-05-01,"Sora",3
"108",2022-05-01,"Spotted Sandpiper",41
"109",2022-05-01,"Summer Tanager",9
"110",2022-05-01,"Swainson's Thrush",26
"111",2022-05-01,"Tennessee Warbler",4
"112",2022-05-01,"Tree Swallow",282
"113",2022-05-01,"Tufted Titmouse",NA
"114",2022-05-01,"Turkey Vulture",59
"115",2022-05-01,"Veery",NA
"116",2022-05-01,"Virginia Rail",3
"117",2022-05-01,"Warbling Vireo",1
"118",2022-05-01,"White-breasted Nuthatch",23
"119",2022-05-01,"White-crowned Sparrow",34
"120",2022-05-01,"White-eyed Vireo",13
"121",2022-05-01,"White-throated Sparrow",9
"122",2022-05-01,"Wild Turkey",3
"123",2022-05-01,"Willow Flycatcher",1
"124",2022-05-01,"Wilson's Snipe",7
"125",2022-05-01,"Wood Duck",45
"126",2022-05-01,"Wood Thrush",NA
"127",2022-05-01,"Worm-eating Warbler",5
"128",2022-05-01,"Yellow Warbler",10
"129",2022-05-01,"Yellow-billed Cuckoo",13
"130",2022-05-01,"Yellow-breasted Chat",29
"131",2022-05-01,"Yellow-rumped Warbler",45
"132",2022-05-01,"Yellow-throated Vireo",1
"133",2022-05-02,"American Crow",NA
"134",2022-05-02,"American Goldfinch",49
"135",2022-05-02,"American Kestrel",1
"136",2022-05-02,"American Redstart",26
"137",2022-05-02,"American Robin",NA
"138",2022-05-02,"Bald Eagle",4
"139",2022-05-02,"Baltimore Oriole",4
"140",2022-05-02,"Barn Swallow",35
"141",2022-05-02,"Bay-breasted Warbler",8
"142",2022-05-02,"Belted Kingfisher",10
"143",2022-05-02,"Black Vulture",12
"144",2022-05-02,"Black-and-white Warbler",NA
"145",2022-05-02,"Black-throated Blue Warbler",1
"146",2022-05-02,"Black-throated Green Warbler",15
"147",2022-05-02,"Blackburnian Warbler",7
"148",2022-05-02,"Blackpoll Warbler",NA
"149",2022-05-02,"Blue Grosbeak",17
"150",2022-05-02,"Blue Jay",NA
"151",2022-05-02,"Blue-gray Gnatcatcher",36
"152",2022-05-02,"Blue-headed Vireo",1
"153",2022-05-02,"Blue-winged Teal",10
"154",2022-05-02,"Bobolink",65
"155",2022-05-02,"Broad-winged Hawk",10
"156",2022-05-02,"Brown Thrasher",52
"157",2022-05-02,"Brown-headed Cowbird",48
"158",2022-05-02,"Brown-headed Nuthatch",2
"159",2022-05-02,"Canada Goose",NA
"160",2022-05-02,"Cape May Warbler",NA
"161",2022-05-02,"Carolina Chickadee",NA
"162",2022-05-02,"Carolina Wren",NA
"163",2022-05-02,"Cedar Waxwing",NA
"164",2022-05-02,"Cerulean Warbler",1
"165",2022-05-02,"Chestnut-sided Warbler",2
"166",2022-05-02,"Chimney Swift",54
